version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file,series
v0,individual,baseline,v0+p27467914bc4d+td4848549884e,27467914bc4d93574eb1a418b77247c51682e04401c78fb4445c22b9019185a0,d4848549884eb9613313a2a8dec5faca4e8299842790ac2d42a04195b4da3198,Thiết lập baseline trước khi chỉnh sửa,Đo hành vi ban đầu của agent với prompt và tool schema starter,base.case_accuracy,,0.7,runs/v0_B_base_openai_20260915T185918096435.json,remote_d0deff4
v1,individual,system_prompt.md,v1+p4ef972ef66f3+td4848549884e,4ef972ef66f302293f1d00329cfbd81908d3f2611159e658294d6c4e6019ab50,d4848549884eb9613313a2a8dec5faca4e8299842790ac2d42a04195b4da3198,Bổ sung routing clarify argument và confirmation boundary vào system prompt,Quy tắc rõ hơn sẽ giảm lỗi chọn tool thiếu thông tin và vượt boundary,base.case_accuracy,0.7,0.9667,runs/v1_B_base_openai_20260915T195033048142.json,remote_d0deff4
v2,individual,system_prompt.md,v2+pfa766fafb5d3+td4848549884e,fa766fafb5d39b78bc7a418dec90d470a6b1a6c51af533f61c3624135a7ebd08,d4848549884eb9613313a2a8dec5faca4e8299842790ac2d42a04195b4da3198,Bổ sung trust boundary và quy tắc chống prompt injection,Prompt an toàn hơn nhưng không làm giảm chất lượng bộ base,base.case_accuracy,0.9667,0.9667,runs/v2_B_base_openai_20260915T195822479817.json,remote_d0deff4
v3,individual,tools.yaml,v3+pfa766fafb5d3+t444673ad7e97,fa766fafb5d39b78bc7a418dec90d470a6b1a6c51af533f61c3624135a7ebd08,444673ad7e9737ff958e26af6305ed38224c53ed6c4ea87bae3c2ffb6e62039b,Bắt buộc search_kb category và mô tả mapping email wifi vpn,Schema chặt hơn sẽ sửa lỗi category bị bỏ sót ở H03,base.case_accuracy,0.9667,1.0,runs/v3_B_base_openai_20260915T201001847232.json,remote_d0deff4
v0,not_recorded,baseline,v0+p27467914bc4d+td4848549884e,27467914bc4d93574eb1a418b77247c51682e04401c78fb4445c22b9019185a0,d4848549884eb9613313a2a8dec5faca4e8299842790ac2d42a04195b4da3198,Review base tool routing and result boundaries,Baseline; original prompt recovered from Git with matching SHA-256.,base.case_accuracy,,0.7,runs/v0_B_base_openai_20260915T195750027709.json,local_completion
v1,not_recorded,system_prompt.md (hash changed),v1+p6313d20de382+td4848549884e,6313d20de3828315427cda990ba73d11e8c546cd161e278462021f0a015240d4,d4848549884eb9613313a2a8dec5faca4e8299842790ac2d42a04195b4da3198,Historical snapshot/notes missing,Historical hypothesis not recorded; cannot reconstruct from metrics alone.,base.case_accuracy,0.7,0.7667,runs/v1_B_base_openai_20260915T200859664606.json,local_completion
v2,not_recorded,system_prompt.md (hash changed),v2+p5947e5a8ee2b+td4848549884e,5947e5a8ee2bfc027025c8eb5b3adacb97725d25007a198f2b07e7f11a4004ef,d4848549884eb9613313a2a8dec5faca4e8299842790ac2d42a04195b4da3198,Historical snapshot/notes missing,Historical hypothesis not recorded; cannot reconstruct from metrics alone.,base.case_accuracy,0.7667,0.8,runs/v2_B_base_openai_20260915T201431182416.json,local_completion
v3,not_recorded,system_prompt.md (hash changed),v3+pe6c6b82caef2+td4848549884e,e6c6b82caef234636fcc8f9db0f2e6e2bb3d66c4b7ca4ba8179f4fd06c093c3f,d4848549884eb9613313a2a8dec5faca4e8299842790ac2d42a04195b4da3198,Review base tool routing and result boundaries,"Retrospective interpretation of saved prompt: explicit routing, scope and confirmation rules should reduce errors; original pre-run hypothesis is unavailable.",base.case_accuracy,0.8,0.9333,runs/v3_B_base_openai_20260915T204902842474.json,local_completion
v4,Codex-assisted; see TEAM.md,system_prompt.md; tools.yaml,v4+p034e09277539+tc37c35e02f1d,034e09277539c89d20c13b94aa408faaa468258a782fb5a74ba6e6eb0e84f2e1,c37c35e02f1d26a1bc864fb6b9e855e9703fbb20185df36b14acb80a0bea011a,Review adversarial tool routing and result boundaries,Pre-recorded in analysis/experiment_v4.md: concise authority rules plus stronger tool descriptions should improve boundaries and scope.,adversarial.case_accuracy,0.5,0.75,runs/v4_B_adversarial_openai_20260916T095931576179.json,local_completion
v4,Codex-assisted; see TEAM.md,system_prompt.md; tools.yaml,v4+p034e09277539+tc37c35e02f1d,034e09277539c89d20c13b94aa408faaa468258a782fb5a74ba6e6eb0e84f2e1,c37c35e02f1d26a1bc864fb6b9e855e9703fbb20185df36b14acb80a0bea011a,Review base tool routing and result boundaries,Pre-recorded in analysis/experiment_v4.md: concise authority rules plus stronger tool descriptions should improve boundaries and scope.,base.case_accuracy,0.9333,0.9333,runs/v4_B_base_openai_20260916T095857333717.json,local_completion
v4,Codex-assisted; see TEAM.md,system_prompt.md; tools.yaml,v4+p034e09277539+tc37c35e02f1d,034e09277539c89d20c13b94aa408faaa468258a782fb5a74ba6e6eb0e84f2e1,c37c35e02f1d26a1bc864fb6b9e855e9703fbb20185df36b14acb80a0bea011a,Review group tool routing and result boundaries,Pre-recorded in analysis/experiment_v4.md: concise authority rules plus stronger tool descriptions should improve boundaries and scope.,group.case_accuracy,0.9,0.9,runs/v4_B_group_openai_20260916T095913270973.json,local_completion
